"SpeciesGroup","Estimate","SE","z value","p.value","intercept.Estimate","intercept.Std. Error","intercept.z value","intercept.Pr(>|z|)","n"
"ANPA", 0.009752265,0.05690908, 0.1713657,0.8639362262,-4.927014e-01, 8.751339e-01,-5.630012e-01, 5.734341e-01,182
"COTO", 0.120527132,0.03284315, 3.6697795,0.0002427598,-4.118925e+00, 5.193203e-01,-7.931376e+00, 2.167305e-15,754
"EPFU", 0.124391967,0.03842928, 3.2369059,0.0012083327,-1.344160e+00, 5.637489e-01,-2.384324e+00, 1.711054e-02,789
"EUMA", 0.197610842,0.08240863, 2.3979387,0.0164876265,-6.928268e-01, 1.215882e+00,-5.698140e-01, 5.688038e-01,255
"LABO",-0.004263724,0.03597372,-0.1185233,0.9056530187,-1.148842e+00, 5.798901e-01,-1.981137e+00, 4.757593e-02,364
"LACI", 0.206471589,0.17020722, 1.2130601,0.2251068298,-1.771140e+00, 5.981566e-01,-2.960997e+00, 3.066448e-03,920
"LANO", 0.081051645,0.03203164, 2.5303619,0.0113944926,-4.156757e-01, 9.161149e-01,-4.537375e-01, 6.500178e-01,857
"MYCA", 0.065778244,0.02680024, 2.4543899,0.0141123856,-2.785628e-01, 4.766953e-01,-5.843624e-01, 5.589765e-01,786
"MYCI", 0.008851283,0.04385862, 0.2018140,0.8400621375, 8.526349e-01, 8.511148e-01, 1.001786e+00, 3.164470e-01,277
"MYEV", 0.019866981,0.02974733, 0.6678577,0.5042244344,-4.786992e-01, 4.484981e-01,-1.067338e+00, 2.858191e-01,788
"MYLU", 0.039040517,0.02551530, 1.5300828,0.1259962273, 1.019559e+00, 4.504267e-01, 2.263540e+00, 2.360245e-02,857
"MYSE",-0.013363801,0.07043614,-0.1897293,0.8495212431,-1.528915e+00, 1.726776e+00,-8.854164e-01, 3.759321e-01,298
"MYTH",-0.049744141,0.04543840,-1.0947600,0.2736217909,-3.890858e+00, 6.854261e-01,-5.676553e+00, 1.374360e-08,466
"MYVO", 0.053012483,0.02625478, 2.0191552,0.0434710867, 2.358575e-01, 4.283080e-01, 5.506726e-01, 5.818581e-01,846
"MYYU", 0.023088924,0.04187329, 0.5513999,0.5813596020,-1.581597e+00, 6.647110e-01,-2.379376e+00, 1.734199e-02,701
