"","species","GRTS.Cell.ID","Quadrant","detection"
"1","ANPA",986,"NE",NA
"2","ANPA",986,"SE",NA
"3","ANPA",1194,"NW",NA
"4","ANPA",1194,"SW2",NA
"5","ANPA",5994,"NE",NA
"6","ANPA",5994,"SE",NA
"7","ANPA",6202,"NE",NA
"8","ANPA",6202,"SW",NA
"9","ANPA",9466,"NE",NA
"10","ANPA",9466,"NW",NA
"11","ANPA",9466,"SE",NA
"12","ANPA",9466,"SW",NA
"13","ANPA",9466,"Transects",NA
"14","ANPA",12522,"NW",NA
"15","ANPA",12522,"SE",NA
"16","ANPA",16426,"NE",NA
"17","ANPA",16426,"SE",NA
"18","ANPA",17706,"NW",NA
"19","ANPA",17706,"SE",NA
"20","ANPA",17706,"Transects",NA
"21","ANPA",19514,"SW",NA
"22","ANPA",20330,"NE",NA
"23","ANPA",20330,"SE",NA
"24","ANPA",20330,"SW1",NA
"25","ANPA",20330,"SW2",NA
"26","ANPA",20730,"NE",NA
"27","ANPA",20730,"NW",NA
"28","ANPA",20730,"SE",NA
"29","ANPA",20730,"SW",NA
"30","ANPA",20730,"Transects",NA
"31","ANPA",26170,"NE",NA
"32","ANPA",26170,"NW",NA
"33","ANPA",26170,"SE",NA
"34","ANPA",26170,"SW",NA
"35","ANPA",37274,"NE",NA
"36","ANPA",37274,"SE",NA
"37","ANPA",37274,"SW",NA
"38","ANPA",42026,"NE",NA
"39","ANPA",42026,"NW",NA
"40","ANPA",42026,"SE",NA
"41","ANPA",42026,"SW",NA
"42","ANPA",47210,"NE",NA
"43","ANPA",47210,"NW",NA
"44","ANPA",47210,"SE",NA
"45","ANPA",47322,"NE",NA
"46","ANPA",47322,"NW",NA
"47","ANPA",47322,"SW",NA
"48","ANPA",47322,"Transects",NA
"49","ANPA",58842,"NW",NA
"50","ANPA",58842,"SE",NA
"51","ANPA",58842,"SW",NA
"52","ANPA",60586,"NW",NA
"53","ANPA",60586,"SW",NA
"54","ANPA",60586,"Transects",NA
"55","ANPA",70250,"NW",NA
"56","ANPA",70250,"Transects",NA
"57","ANPA",73002,"NE",NA
"58","ANPA",73002,"SE",NA
"59","ANPA",73002,"SW",NA
"60","ANPA",73002,"Transects",NA
"61","ANPA",73786,"NW",NA
"62","ANPA",73786,"SE",NA
"63","ANPA",73786,"Transects",NA
"64","ANPA",77162,"NW1",NA
"65","ANPA",77162,"NW2",NA
"66","ANPA",77162,"SW",NA
"67","ANPA",77162,"Transects",NA
"68","ANPA",79018,"NE",NA
"69","ANPA",79018,"NW",NA
"70","ANPA",79018,"SE",NA
"71","ANPA",79018,"SW",NA
"72","ANPA",79018,"Transects",NA
"73","ANPA",86074,"NE",NA
"74","ANPA",86074,"SW",NA
"75","ANPA",89962,"NE",NA
"76","ANPA",89962,"SE","○"
"77","ANPA",89962,"SW",NA
"78","ANPA",93290,"NW","●"
"79","ANPA",93290,"SE",NA
"80","ANPA",93290,"SW","●"
"81","ANPA",93290,"Transects",NA
"82","ANPA",110378,"NE","●"
"83","ANPA",110378,"NW",NA
"84","ANPA",110378,"SE",NA
"85","ANPA",110378,"SW",NA
"86","ANPA",114602,"NE",NA
"87","ANPA",114602,"NW",NA
"88","ANPA",114602,"SE",NA
"89","ANPA",114602,"SW",NA
"90","ANPA",115322,"NW",NA
"91","ANPA",115322,"SE",NA
"92","ANPA",115322,"SW",NA
"93","ANPA",127850,"NW",NA
"94","ANPA",127850,"SE1",NA
"95","ANPA",127850,"SW",NA
"96","ANPA",132650,"SE",NA
"97","ANPA",132650,"SW",NA
"98","ANPA",143274,"NE",NA
"99","ANPA",143274,"NW",NA
"100","ANPA",143274,"SE",NA
"101","ANPA",143274,"SW",NA
"102","ANPA",145578,"NE","○"
"103","ANPA",145578,"NW",NA
"104","ANPA",145578,"SE",NA
"105","ANPA",145578,"SW",NA
"106","ANPA",147306,"NE1",NA
